Index,Model,Family,Line,Platform,OPN Tray,OPN PIB,OPN MPK,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock ¹ ²,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,Socket Count,PCI Express® Version,Thermal Solution PIB,Thermal Solution MPK,Default TDP / TDP,cTDP,Max Temps,*OS Support,System Memory Specification,System Memory Type,Memory Channels,Graphics Frequency,GPU Base,Graphics Model,Graphics Core Count,Supported Technologies,DisplayPort,HDMI
166,7th Gen A6-9225 APU,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,AM9225AYN23AC,,,2Q18,2,,3,5 (2 CPU + 3 GPU),2.6GHz,Up to 3.1GHz,,1MB,,No,28nm,,,PCIe® 3.0,,,15W,10-15W,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR4,1,686 MHz,,AMD Radeon™ R4 Graphics,,"Virtualization, DirectX® 12 Technology, AES, AMD App Acceleration, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Radeon™ Dual Graphics, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AVFS, AMD HD3D Technology, AMD Mantle API, AMD Gaming Evolved Client",Yes,Yes
167,7th Gen A6-9220 APU,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,AM9220AYN23AC,,,Q217,2,,3,5 (2 CPU + 3 GPU),2.5GHz,Up to 2.9GHz,,1MB,,No,28nm,,,PCIe® 3.0,,,15W,10-15WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR4,,655 MHz,,AMD Radeon™ R5 Graphics,3,,Yes,Yes
168,7th Gen A6-9220C APU,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,AM922CANN23AC,,,,2,2,3,5 (2 CPU + 3 GPU),1.8GHz,Up to 2.7GHz,160KB,1MB,,No,28nm,FT4,,,,,6W,,90°C,,Up to 1866MHz,,1,720 MHz,,Radeon™ R5 Graphics,3,"H.26X Decode, VP9 Decode",Yes,Yes
169,7th Gen A6-9210 APU,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,AM9210AVY23AC,,,Q216,2,,3,5 (2 CPU + 3 GPU),2.4GHz,Up to 2.8GHz,,1MB,,No,28nm,,,,,,15W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR4,1,600 MHz,,AMD Radeon™ R4 Graphics,3,,Yes,Yes
170,7th Gen A4-9125 APU,AMD A-Series Processors,AMD A4-Series APU for Laptops,Laptop,AM9125AYN23AC,,,2Q18,2,,2,4 (2 CPU + 2 GPU),2.3GHz,Up to 2.6GHz,,1MB,,No,28nm,,,PCIe® 3.0,,,15W,10-15WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Linux x86_64  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,,1,686 MHz,,AMD Radeon™ R3 Graphics,2,"Virtualization, DirectX® 12 Technology, AES, AMD App Acceleration, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Radeon™ Dual Graphics, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AVFS, AMD HD3D Technology, AMD Mantle API, AMD Gaming Evolved Client",Yes,Yes
171,7th Gen A4-9120 APU,AMD A-Series Processors,AMD A4-Series APU for Laptops,Laptop,AM9120AYN23AC,,,Q217,2,,2,4 (2 CPU + 2 GPU),2.2GHz,Up to 2.5GHz,,1MB,,No,28nm,,,PCIe® 3.0,,,15W,10-15WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR4,,655 MHz,,AMD Radeon™ R3 Graphics,2,,Yes,Yes
172,7th Gen A4-9120C APU,AMD A-Series Processors,AMD A4-Series APU for Laptops,Laptop,AM912CANN23AC,,,,2,2,3,5 (2 CPU + 3 GPU),1.6GHz,Up to 2.4GHz,160KB,1MB,,No,28nm,FT4,,,,,6W,,90°C,,Up to 1866MHz,,1,600 MHz,,Radeon™ R4 Graphics,3,"VP9 Decode, H.26X Decode",Yes,Yes
173,7th Gen AMD PRO A12-9800 APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Desktops,Desktop,AD980BAUM44AB,,,10/03/2016,4,,8,,3.8GHz,Up to 4.2GHz,,2MB,,No,28nm,AM4,,PCIe® 3.0,,,65W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1108 MHz,,R7,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD PowerTune Technology, AMD Secure Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, Enhanced Virus Protection",Yes,Yes
174,7th Gen AMD PRO A12-9800E APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Desktops,Desktop,AD980BAHM44AB,,,10/03/2016,4,,8,,3.1GHz,Up to 3.8GHz,,2MB,,No,28nm,AM4,,PCIe® 3.0,,,35W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,900 MHz,,R7,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD PowerTune Technology, AMD Secure Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, Enhanced Virus Protection",Yes,Yes
175,7th Gen AMD PRO A10-9700 APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Desktops,Desktop,AD970BAGM44AB,,,10/03/2016,4,,6,,3.5GHz,Up to 3.8GHz,,2MB,,No,28nm,AM4,,PCIe® 3.0,,,65W,45W/65WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1029 MHz,,R7,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD PowerTune Technology, AMD Secure Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, Enhanced Virus Protection",Yes,Yes
176,7th Gen AMD PRO A10-9700E APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Desktops,Desktop,AD970BAHM44AB,,,10/03/2016,4,,6,,3.0GHz,Up to 3.5GHz,,2MB,,No,28nm,AM4,,PCIe® 3.0,,,35W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,847 MHz,,R7,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD PowerTune Technology, AMD Secure Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, Enhanced Virus Protection",Yes,Yes
177,7th Gen AMD PRO A8-9600 APU,AMD PRO A-Series Processors,AMD PRO A-Series A8 APU for Desktops,Desktop,AD960BAGM44AB,,,10/03/2016,4,,6,,3.1GHz,Up to 3.4GHz,,2MB,,No,28nm,AM4,,PCIe® 3.0,,,65W,45W/65WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,900 MHz,,R7,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD PowerTune Technology, AMD Secure Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, Enhanced Virus Protection",Yes,Yes
178,7th Gen AMD PRO A6-9500 APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Desktops,Desktop,AD950BAGM23AB,,,10/03/2016,2,,6,,3.5GHz,Up to 3.8GHz,,1MB,,No,28nm,AM4,,PCIe® 3.0,,,65W,45W/65WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1029 MHz,,R5,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD PowerTune Technology, AMD Secure Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, Enhanced Virus Protection",Yes,Yes
179,7th Gen AMD PRO A6-9500E APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Desktops,Desktop,AD950BAHM23AB,,,10/03/2016,2,,4,,3.0GHz,Up to 3.4GHz,,1MB,,No,28nm,AM4,,PCIe® 3.0,,,35W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,800 MHz,,R5,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD PowerTune Technology, AMD Secure Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, Enhanced Virus Protection",Yes,Yes
180,7th Gen AMD PRO A12-9830B APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Laptops,Laptop,AM983BAEY44AB,,,10/24/2016,4,,8,,3.0GHz,Up to 3.7GHz,,2MB,,No,28nm,FP4,,,,,35W,25W/45WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,900 MHz,,R7,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD PowerTune Technology, AMD Secure Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection",Yes,Yes
181,7th Gen AMD PRO A12-9800B APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Laptops,Laptop,AM980BADY44AB,,,10/24/2016,4,,8,,2.7GHz,Up to 3.6GHz,,2MB,,No,28nm,FP4,,,,,15W,12W/15WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 1866MHz,DDR4,2,758 MHz,,R7,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD Secure Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection",Yes,Yes
182,7th Gen AMD PRO A10-9730B APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Laptops,Laptop,AM973BAEY44AB,,,10/24/2016,4,,6,,2.8GHz,Up to 3.5GHz,,2MB,,No,28nm,FP4,,,,,35W,25W/45WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,900 MHz,,R7,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD PowerTune Technology, AMD Secure Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection",Yes,Yes
183,7th Gen AMD PRO A10-9700B APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Laptops,Laptop,AM970BADY44AB,,,10/24/2016,4,,6,,2.5GHz,Up to 3.4GHz,,2MB,,No,28nm,FP4,,,,,15W,12W/15WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 1866MHz,DDR4,2,758 MHz,,R7,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD Secure Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection",Yes,Yes
184,7th Gen AMD PRO A8-9630B,AMD PRO A-Series Processors,AMD PRO A-Series A8 APU for Laptops,Laptop,AM963BAEY44AB,,,10/24/2016,4,,6,,2.6GHz,Up to 3.3GHz,,2MB,,No,28nm,FP4,,,,,35W,25W/45WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,800 MHz,,R5,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD PowerTune Technology, AMD Secure Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection",Yes,Yes
185,7th Gen AMD PRO A8-9600B APU,AMD PRO A-Series Processors,AMD PRO A-Series A8 APU for Laptops,Laptop,AM960BADY44AB,,,10/24/2016,4,,6,,2.4GHz,Up to 3.3GHz,,2MB,,No,28nm,FP4,,,,,15W,12W/15WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 1866MHz,DDR4,2,720 MHz,,R5,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD Secure Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection",Yes,Yes
186,7th Gen AMD PRO A6-9500B APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Laptops,Laptop,AM950BADY23AB,,,10/24/2016,2,,4,,2.3GHz,Up to 3.2GHz,,1MB,,No,28nm,FP4,,,,,15W,12W/15WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 1866MHz,DDR4,2,800 MHz,,R5,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD PowerTune Technology, AMD Secure Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection",Yes,Yes
187,7th Gen FX 9830P APU,AMD FX-Series Processors,AMD FX-Series Processors for Laptops,Laptop,FM983PAEY44AB,,,Q216,4,,8,,3.0GHz,Up to 3.7GHz,,2MB,,No,28nm,FP4,,,,,35W,25-45WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,900 MHz,,AMD Radeon™ R7 Graphics,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD Radeon™ Dual Graphics, AMD Secure Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD HD3D Technology, AMD Mantle API",Yes,Yes
188,7th Gen FX 9800P APU,AMD FX-Series Processors,AMD FX-Series Processors for Laptops,Laptop,FM980PADY44AB,,,Q216,4,,8,,2.7GHz,Up to 3.6GHz,,2MB,,No,28nm,FP4,,,,,15W,12-15WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 1866MHz,DDR4,2,758 MHz,,AMD Radeon™ R7 Graphics,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD Radeon™ Dual Graphics, AMD Secure Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD HD3D Technology, AMD Mantle API",Yes,Yes
